file,MSE_Trend,RMSE_Trend,MAE_Trend,Corr_Trend,Max_Abs_Error_Trend,MSE_Seasonal,RMSE_Seasonal,MAE_Seasonal,Corr_Seasonal,Max_Abs_Error_Seasonal,MSE_Residuals,RMSE_Residuals,MAE_Residuals,Corr_Residuals,Max_Abs_Error_Residuals
dirty-iim-90.csv,424359.5234014285,651.4288321846282,471.47812958977534,0.5769211874486874,1695.4286147831485,118191.80640274493,343.7903523991692,241.4341565981454,0.8358537397745698,935.5737801715602,1032061.7741833663,1015.9044119322282,732.582868972812,0.7106029555552384,5341.403820238544
dirty-iim-95.csv,26159.96325950643,161.74041937470804,114.92204907585813,0.9795493869118702,426.4988645874537,10108.710874782768,100.54208509267534,70.45929521616597,0.9875033370511207,254.44140757891466,129408.39701880862,359.7337863181725,250.11068639980505,0.9693090737824696,1743.2203999311632
dirty-si-5.csv,424.22853465954074,20.5968088465068,9.059418283970409,0.9995327300540304,74.15662598898416,224.1176870957847,14.970560680742212,11.75132858277132,0.9995121646399237,36.41972853408393,3703.1106508370085,60.85318932346117,24.00666777249126,0.998963025645537,560.3553219986383
dirty-si-10.csv,4808.702386969768,69.34480793087373,46.2815239153952,0.9932034392253432,168.5040438857966,1114.4667394840483,33.38362981288955,23.35673699797449,0.9975746596880201,76.81133239401356,52906.48252375532,230.0140920112403,99.77688178775993,0.9854001440185736,1762.1989155161455
dirty-si-15.csv,9522.627216636916,97.58394958514907,78.62255948021523,0.98888327412529,218.7408576520079,7288.3963807649125,85.37210540196905,69.95383814250894,0.9855931592157406,167.27284762577466,94180.46395990637,306.88835748510627,164.32229997926146,0.9734795120798899,2100.978452352356
dirty-si-20.csv,26214.439825089925,161.9087391868948,116.61561744427803,0.9698600191736206,429.0323068092807,13043.930277144676,114.2100270429207,94.29384917246755,0.9774178925203241,205.746150984206,227430.46046353065,476.89669789539397,278.5402726737558,0.9351513874288951,2353.1220381308917
dirty-si-25.csv,20094.999368032357,141.75683182137064,111.74206820782187,0.9822778938924618,329.4696158650538,18882.967727262698,137.41531110928904,112.10989391098481,0.972525035269541,243.200098126989,137593.41929500934,370.9358695179119,249.87372942409098,0.9615900250342535,1540.8895270754135
dirty-si-30.csv,67439.21674877813,259.69061736762484,184.62432029340366,0.9303305139320935,785.7423917845804,15266.135175159281,123.55620249570347,107.97422751714558,0.9739990239077924,214.5719038287987,307921.49925721745,554.9067482534498,346.11851310187444,0.9097285565368747,3129.068330604366
dirty-si-35.csv,109181.55195306231,330.4263184933402,239.16679614623436,0.8886036722042917,1156.2665830712963,16439.037985426592,128.21481188001093,109.1908136918645,0.977411621015463,240.28625022788356,519699.50086821715,720.9018663231614,454.5529544265293,0.8421001009320104,3580.314621032109
dirty-si-40.csv,44064.080599854045,209.91446019713374,168.16913979910086,0.9599594129409519,585.7285912179094,29879.397470030464,172.85658063848905,129.22003425768006,0.9498873954928679,296.33586832295464,397833.18341626803,630.7401869361647,423.9213692624878,0.8818846043381116,2815.5341431051897
